,STATE_ZONE,Date,Altitude
0,AZ107,2009-08-10,3.94
1,AZ115,2009-08-10,3.94
2,CA214,2012-08-21,4.39
3,CA214,2017-08-19,1.75
4,CA214,2018-08-06,3.52
5,CA214,2018-09-07,3.76
6,CA216,2014-09-19,3.82
7,CA217,2014-09-19,4.06
8,CA218,2014-09-19,4.18
9,CA219,2018-08-06,0.91
10,CA220,2009-08-29,1.57
11,CA220,2018-08-06,1.48
12,CA226,2011-08-12,4.9
13,CA226,2015-08-23,4.57
14,CA228,2009-08-31,4.93
15,CA237,2007-08-24,0.76
16,CA237,2009-08-13,0.97
17,CA238,2007-08-08,1.72
18,CA238,2007-08-24,0.76
19,CA240,2009-08-13,0.43
20,CA251,2007-08-08,1.72
21,CA251,2007-08-24,0.76
22,CA252,2007-08-08,2.02
23,CA252,2007-08-24,2.62
24,CA253,2007-08-08,1.78
25,CA259,2009-09-07,1.18
26,CA263,2008-08-01,3.49
27,CA263,2012-08-28,2.5
28,CA263,2015-08-05,3.31
29,CA267,2018-08-06,2.23
30,CA268,2012-08-05,3.73
31,CA268,2012-08-21,4.15
32,CA268,2017-08-19,4.48
33,CA268,2018-08-06,3.28
34,CA269,2018-08-06,3.31
35,CA271,2012-08-05,3.7
36,CA271,2012-08-21,4.15
37,CA271,2017-08-19,4.48
38,CA271,2018-08-06,4.0
39,CA271,2018-09-07,2.23
40,CA274,2015-08-23,4.57
41,CA280,2006-08-28,3.97
42,CA280,2008-08-01,2.89
43,CA280,2011-09-11,3.1
44,CA280,2012-08-28,2.53
45,CA280,2013-08-15,3.64
46,CA280,2014-08-02,3.16
47,CA280,2014-09-03,2.14
48,CA280,2015-08-05,3.13
49,CA280,2017-08-26,2.35
50,CA280,2018-08-29,3.28
51,CA283,2008-08-01,3.37
52,CA283,2012-08-28,2.86
53,CA283,2014-08-02,4.75
54,CA283,2015-08-05,2.965
55,CA284,2012-08-21,3.31
56,CA284,2017-08-19,3.88
57,CA284,2017-09-04,2.41
58,CA284,2018-08-06,3.07
59,CA284,2018-08-22,3.85
60,CA285,2012-08-21,3.31
61,CA285,2018-08-06,3.01
62,CA285,2018-09-07,2.995
63,CA510,2014-09-19,3.52
64,CA511,2014-09-19,3.52
65,CA517,2016-08-23,1.96
66,CA579,2007-08-24,0.76
67,CA579,2009-08-13,0.97
68,CA580,2007-08-24,3.16
69,CA580,2009-08-13,0.97
70,CA580,2009-08-29,1.21
71,CA580,2018-08-06,1.87
72,CA590,2009-08-29,1.45
73,CA592,2015-08-23,4.72
74,CA594,2011-08-12,4.9
75,CA594,2016-08-25,4.72
76,CA595,2016-08-25,4.45
77,CA597,2009-08-13,0.97
78,ID101,2015-08-27,4.06
79,ID101,2018-08-19,4.765000000000001
80,ID102,2012-08-25,1.72
81,ID103,2012-08-18,2.875
82,ID103,2015-08-27,2.95
83,ID103,2017-09-01,2.8
84,ID400,2011-09-08,4.36
85,ID402,2012-08-18,3.4
86,ID402,2017-09-01,3.13
87,ID402,2018-08-03,4.18
88,ID403,2011-09-08,4.36
89,ID403,2012-08-18,3.4
90,ID403,2018-08-03,4.18
91,ID410,2011-08-25,2.2
92,ID410,2015-08-20,4.24
93,ID413,2018-08-05,5.619999999999999
94,ID420,2011-09-08,4.24
95,ID420,2012-08-25,2.11
96,ID421,2011-09-08,4.3
97,ID421,2012-08-18,4.09
98,ID421,2012-08-25,4.9
99,ID421,2018-08-03,3.94
100,ID422,2008-08-23,3.82
101,ID422,2012-08-18,5.02
102,ID422,2018-08-03,4.48
103,ID423,2011-09-08,4.66
104,ID424,2011-09-08,4.93
105,ID424,2012-08-25,4.24
106,ID424,2018-08-03,3.94
107,ID425,2012-08-18,6.1
108,ID425,2018-08-03,3.94
109,ID426,2011-09-08,4.66
110,ID475,2008-08-23,3.82
111,ID475,2012-08-18,4.72
112,ID476,2015-08-20,4.15
113,MT104,2007-08-14,2.23
114,MT104,2012-08-27,3.73
115,MT104,2014-07-16,4.66
116,MT104,2015-08-20,4.3
117,MT104,2017-08-09,2.56
118,MT104,2018-08-12,2.95
119,MT105,2013-08-23,4.06
120,MT106,2012-08-27,2.11
121,MT106,2015-08-20,3.28
122,MT106,2017-08-09,3.76
123,MT107,2007-08-14,2.23
124,MT107,2012-08-27,4.15
125,MT107,2014-07-16,3.82
126,MT107,2015-08-20,3.46
127,MT107,2016-08-22,3.85
128,MT107,2017-08-09,4.84
129,MT108,2012-08-27,2.11
130,MT108,2013-08-23,4.9
131,MT108,2015-08-20,3.4
132,MT108,2017-08-09,4.54
133,MT108,2017-09-03,3.94
134,MT109,2007-08-30,5.47
135,MT109,2011-09-10,4.96
136,MT109,2013-07-29,4.27
137,MT109,2015-08-20,3.73
138,MT109,2017-08-09,4.48
139,MT110,2007-08-30,3.37
140,MT110,2013-07-29,4.12
141,MT110,2015-08-20,4.33
142,MT110,2017-09-03,3.94
143,MT111,2015-08-20,4.12
144,MT111,2017-09-03,2.89
145,MT112,2017-08-11,3.76
146,MT113,2018-08-16,4.09
147,MT114,2009-09-29,5.26
148,MT114,2011-08-18,4.42
149,MT114,2013-08-23,5.08
150,MT114,2017-09-03,6.22
151,MT116,2013-08-23,4.81
152,MT116,2017-09-03,3.94
153,MT117,2011-09-05,3.46
154,MT117,2011-09-12,2.08
155,MT117,2012-08-29,3.85
156,MT117,2017-08-11,5.29
157,MT123,2011-09-12,4.66
158,MT123,2012-08-29,2.89
159,MT123,2013-09-01,6.01
160,MT123,2017-08-11,5.11
161,MT124,2011-09-05,3.46
162,MT125,2011-09-05,2.89
163,MT126,2011-09-05,2.89
164,MT127,2011-09-05,3.46
165,MT127,2018-08-16,3.94
166,MT128,2018-08-16,3.94
167,MT129,2018-08-16,3.82
168,MT136,2018-08-16,3.94
169,MT137,2018-08-16,4.15
170,NV423,2013-08-26,3.49
171,NV423,2018-08-24,3.55
172,NV437,2013-08-26,4.03
173,NV437,2018-08-24,3.85
174,NV437,2018-09-09,3.19
175,NV438,2018-08-01,5.14
176,NV461,2018-08-10,2.8
177,NV469,2018-08-26,3.7
178,OR602,2017-09-04,3.55
179,OR603,2011-09-11,1.81
180,OR603,2017-08-26,2.08
181,OR605,2017-09-04,7.84
182,OR606,2017-08-19,2.02
183,OR606,2017-09-04,2.53
184,OR606,2018-08-22,2.35
185,OR608,2014-08-27,2.62
186,OR608,2017-08-19,2.35
187,OR608,2018-08-22,3.13
188,OR610,2010-08-25,2.23
189,OR610,2011-08-28,2.2
190,OR610,2015-08-23,3.85
191,OR612,2011-09-11,2.35
192,OR616,2011-09-11,1.81
193,OR616,2013-07-30,2.26
194,OR616,2017-08-26,1.78
195,OR617,2014-08-27,2.95
196,OR617,2017-08-19,2.86
197,OR617,2018-08-22,3.34
198,OR620,2008-08-17,2.44
199,OR620,2009-09-21,1.33
200,OR620,2011-09-11,3.1
201,OR620,2013-07-30,2.17
202,OR620,2013-08-15,2.86
203,OR620,2014-08-02,2.59
204,OR620,2017-08-26,1.75
205,OR620,2018-08-29,3.49
206,OR621,2011-09-11,3.1
207,OR621,2012-08-28,2.53
208,OR621,2013-07-30,2.47
209,OR621,2013-08-15,2.86
210,OR621,2014-08-02,3.16
211,OR621,2017-08-26,2.86
212,OR621,2018-08-29,3.28
213,OR623,2014-08-27,2.95
214,OR623,2017-08-19,2.62
215,OR623,2018-08-22,3.55
216,OR624,2014-08-27,2.41
217,OR624,2017-08-19,2.41
218,OR624,2017-09-04,2.41
219,OR624,2018-08-06,2.89
220,OR624,2018-08-22,3.7
221,OR636,2018-08-08,5.08
222,OR636,2018-08-24,2.35
223,OR636,2018-09-09,3.19
224,OR637,2009-09-25,3.85
225,OR637,2012-08-16,4.78
226,OR637,2013-09-04,4.45
227,OR637,2016-08-27,3.82
228,OR637,2018-08-01,3.79
229,OR639,2006-08-14,3.1
230,OR639,2009-09-23,2.44
231,OR639,2011-08-28,1.36
232,OR639,2011-09-13,3.61
233,OR639,2015-08-23,3.85
234,OR639,2017-08-28,4.12
235,OR639,2018-08-15,3.91
236,OR640,2012-08-14,2.26
237,OR640,2015-08-23,2.8
238,OR640,2017-08-28,1.51
239,OR641,2015-08-16,2.23
240,OR641,2015-08-25,3.88
241,OR641,2017-08-05,2.77
242,OR641,2017-08-30,2.65
243,OR642,2018-08-08,5.08
244,OR643,2015-08-25,3.64
245,OR644,2009-09-25,3.4
246,OR644,2015-08-25,4.36
247,OR644,2016-08-27,2.86
248,OR644,2018-08-08,5.05
249,OR645,2012-08-25,1.75
250,OR646,2009-09-25,3.37
251,OR646,2016-08-27,3.31
252,UT478,2012-08-18,5.89
253,UT478,2018-08-03,4.12
254,UT492,2018-08-03,5.23
255,UT497,2018-08-10,2.8
256,WA639,2006-08-14,3.19
257,WA639,2009-09-23,3.13
258,WA639,2017-08-28,4.12
259,WA641,2015-08-16,2.68
260,WA641,2015-08-25,3.52
261,WA641,2017-08-05,3.04
262,WA641,2017-08-30,2.32
263,WA653,2015-08-23,1.99
264,WA655,2006-08-14,2.62
265,WA655,2015-08-23,2.17
266,WA655,2018-08-15,3.13
267,WA657,2006-08-14,0.64
268,WA657,2009-09-23,2.95
269,WA658,2017-08-05,4.42
270,WA659,2006-08-14,2.62
271,WA659,2009-09-23,3.46
272,WA659,2015-08-23,2.23
273,WA659,2018-08-15,3.01
274,WA660,2006-08-14,2.62
275,WA660,2015-08-23,2.44
276,WA660,2018-08-15,3.88
277,WA662,2015-08-16,2.17
278,WA663,2006-08-14,2.62
279,WA663,2009-09-23,3.61
280,WA663,2017-08-28,2.29
281,WA664,2017-09-04,1.9
282,WA673,2011-08-30,2.68
283,WA673,2015-08-25,1.9
284,WA673,2017-08-30,4.93
285,WA675,2015-08-16,2.8
286,WA675,2017-08-05,3.13
287,WA675,2018-08-08,3.64
288,WA676,2015-08-16,2.95
289,WA676,2017-08-05,3.13
290,WA676,2018-08-08,3.64
291,WA677,2010-08-02,3.19
292,WA677,2013-08-10,3.01
293,WA677,2015-08-16,2.86
294,WA677,2017-08-05,3.67
295,WA682,2010-08-02,3.19
296,WA682,2013-08-10,3.01
297,WA682,2015-08-16,2.17
298,WA682,2017-08-05,3.58
299,WA684,2011-08-30,2.56
300,WA684,2014-08-06,3.58
301,WA684,2015-08-25,2.44
302,WA684,2018-08-01,3.28
303,WA684,2018-08-17,5.545
304,WA687,2011-08-30,2.44
305,WY140,2013-09-01,5.62
306,WY140,2016-07-23,3.73
307,WY274,2018-08-16,2.26
308,WY277,2018-08-05,5.095000000000001
309,WY278,2017-08-11,5.56
310,WY279,2017-08-11,5.56
311,WY284,2018-08-16,4.9
312,WY285,2018-08-16,4.9
313,WY286,2013-09-01,6.07
314,WY286,2016-07-23,3.73
315,WY288,2013-09-01,5.11
316,WY288,2016-07-23,3.67
317,WY288,2018-09-28,4.42
318,WY303,2018-08-16,4.18
319,WY308,2018-08-16,4.18
320,WY415,2013-09-01,5.86
321,WY415,2016-07-23,3.73
322,WY416,2013-09-01,5.11
323,WY416,2016-07-23,4.18
324,WY416,2017-08-11,5.02
325,WY416,2018-09-28,4.51
